Key,SubCategory,FAQ Question,Previous alternative User Says,New User Says,FAQ Response
already-bnp-paribas-fortis-client--q1,,I want to convert my BNP Paribas Fortis current account into a Hello Current Account. What do I need to do?,,,"It's very simple:    1. Download the app Hello bank! -available on the App Store and Google Play-.    2. Click on ""login"".    3. Enter your BNP Paribas Fortis customer number  and your BNP Paribas Fortis card number.  You will then have the option to convert your BNP Paribas Fortis account into a Hello Current Account."
already-bnp-paribas-fortis-client--q2,,I want to convert my BNP Paribas Fortis account into a Hello4You account. What do I need to do?,,,Contact the Hello Team on 02 433 41 45 Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-.
already-bnp-paribas-fortis-client--q3,,"I would like to open a Hello Current Account, or a Hello4You Current Account, alongside my BNP Paribas Fortis current account. What do I need to do?",,,"It's very simple:    1. Download the app Hello bank! -available on the App Store and Google Play-.    2. Click on ""login"".    3. Enter your BNP Paribas Fortis customer number  and your BNP Paribas Fortis card number.  You will then have the option to convert your BNP Paribas Fortis account into a Hello Current Account or a Hello4You Current Account."
already-bnp-paribas-fortis-client--q4,,"Can I convert the BNP Paribas Fortis Pack that I hold jointly with my partner, into a free Hello bank! offer with a sole account holder?",,,This BNP Paribas Fortis Pack cannot be converted into a free Hello bank! offer. Packs with joint account holders can only be converted into a free Hello bank! offer with joint account holders and Packs with a sole account holder can only be converted into a free Hello bank! offer with a sole account holder.
already-bnp-paribas-fortis-client--q5,,"Is it possible to have a free Hello bank! offer, or a free Hello4You offer, and a BNP Paribas Fortis Pack at the same time?",,,It is entirely possible as long as the accounts are separate. The same account cannot be opened under both the Hello bank! and BNP Paribas Fortis brands.
already-bnp-paribas-fortis-client--q6,,What happens to my Traditional Savings Account and my BNP Paribas Fortis Premium Online Savings Account?,,,Nothing will change for you. There will be no changes to your savings accounts and they will continue to be free of charge.
already-bnp-paribas-fortis-client--q7,,What will change for me?,,,"By becoming a Hello bank! customer, you are choosing simple, clear and intuitive mobile solutions.  You have two options:   - The first: you subscribe to the free Hello bank! offer and become a new Hello bank! customer. You benefit from the support of the Hello Team, a team of experts in banking products and mobile technology.  - The second: you convert your BNP Paribas Fortis Pack into a free Hello bank! offer or a free Hello4You offer. You need to decide if you want to keep or remove certain services included in BNP Paribas Fortis packs, and which are not available in the free Hello bank! offer. Services that you keep will be charged.   Before making any decision, it is important to start the simulation in the app to measure the exact impact of a conversion.  Some services can not be maintained because they are not available in the free Hello bank! offer or the free Hello4You offer."
already-bnp-paribas-fortis-client--q8,,What will change for my BNP Paribas Fortis current account if I convert it a free Hello bank! offer?,,,"You keep your existing account number. An overview of your transactions is available via the app Hello bank!, with 6 months of records for your account. You can obtain paper account statements from the Hello Team, but you can also always view your account statements via your PC banking agreement. The special account interest terms are no longer valid, but you benefit from the current rates on your Hello Current Account. Your in-credit interest will change."
already-bnp-paribas-fortis-client--q9,,What will change for my BNP Paribas Fortis current account if I convert it to a free Hello4You offer?,,,"You keep your existing account number. The summary of transactions is available via the app Hello bank! with a six month history. You can receive paper account statements from the Hello Team or via the BNP Paribas Fortis Self Banking, but your statements are also always available via your PC banking contract. The special conditions of the account are cancelled, but you benefit from the rates prevailing on the Hello Current Account. Your interest rate will be changed."
already-bnp-paribas-fortis-client--q10,,What will change for my bank card?,,,"If you open a new free Hello bank! offer, you will receive a new Hello Bank card and a new PIN code. If you are converting your existing account, you will be sent a new bank card but you will keep your current PIN code. The card cannot be customised. The card will still provide access to self-service banking. It is possible to withdraw money outside of Europe on request. The Proton function is still available. To assess the full impact of converting your BNP Paribas Fortis pack into Hello bank!, run the simulation available in the app Hello bank!."
